El_1,El_2,El_3,N_El_1,N_El_2,N_El_3,Sistematica,Stock,Tradicional
Cu,O,0,1,2,0,Dióxido de cobre,,
K,O,H,1,1,1,Hidróxido de potasio,,
H,Cr,O,2,2,7,Heptaoxodicromato (VI) de hidrógeno,,
As,H,0,1,3,0,Trihidruro de Arsénico,,
I,O,0,2,1,0,Monóxido de diyodo,,
H,Mn,O,1,1,4,Tetraoxomanganato (VII) de hidrógeno,,
Ca,C,O,1,1,3,Trioxocarbonato (IV) de Calcio,,
N,O,0,2,5,0,Pentaóxido de dinitrógeno,,
H,C,O,2,1,3,Trioxocarbonato (IV) de hidrógeno,,
Co,Cl,0,1,3,0,Tricloruro de cobalto,,
S,O,0,1,1,0,Monóxido de azufre,,
Sn,H,0,1,4,0,Tetrahidruro de estaño,,
H,F,O,1,1,1,Oxofluorato (I) de hidrógeno,,
H,P,O,4,2,7,Heptaoxodifosfato (V) de hidrógeno.,,
